IDfg,Season,Name,Projected_H,Projected_2B,Projected_3B,Projected_HR,Projected_R,Projected_RBI,Projected_BB,Projected_SH,Projected_SB,Projected_AB,Projected_PA,Projected_AVG,Projected_OBP,Projected_SLG,Projected_OPS,H,1B,2B,3B,HR,R,RBI,BB,SH,SB,wRC,WAR,G,AB,PA,AVG,BB%,OBP,SLG,OPS,ISO,wRAA,wRC+
19339,2022,Nicky Lopez,126,23,4,5,65,44,43,11,11,477,534,.264,.329,.361,.689,99,83,12,4,0,51,20,29,10,13,32,0.9,142,436,480,0.227,0.06,0.281,0.273,0.554,0.046,-22.6,55
19608,2022,Otto Lopez,44,9,1,7,25,23,18,1,2,178,201,.247,.322,.427,.749,6,6,0,0,0,0,3,1,0,0,3,0.1,8,9,10,0.667,0.1,0.7,0.667,1.367,0.0,2.3,307
18882,2022,Brandon Lowe,126,27,2,31,83,86,57,1,7,498,568,.253,.337,.502,.839,52,32,10,2,8,31,25,27,0,1,30,0.6,65,235,266,0.221,0.102,0.308,0.383,0.691,0.162,-0.8,103
19953,2022,Josh Lowe,45,9,1,7,25,23,19,1,3,178,201,.253,.330,.433,.763,40,24,12,2,2,24,13,15,1,3,17,0.2,52,181,198,0.221,0.076,0.284,0.343,0.627,0.122,-5.3,81
19566,2022,Nathaniel Lowe,122,21,2,17,66,62,61,1,6,474,542,.257,.344,.418,.762,179,123,26,3,27,74,76,48,0,2,104,3.1,157,593,645,0.302,0.074,0.358,0.492,0.851,0.191,30.0,143
4418,2022,Jed Lowrie,95,22,0,13,49,56,41,1,2,406,456,.234,.307,.384,.691,30,22,5,0,3,14,16,15,0,1,9,-1.0,50,167,184,0.18,0.0819999999999999,0.245,0.263,0.508,0.084,-11.7,49
16424,2022,Jordan Luplow,65,15,1,14,40,41,38,1,3,278,321,.234,.331,.446,.777,36,20,5,0,11,26,28,25,0,5,21,0.4,83,205,234,0.176,0.107,0.274,0.361,0.634,0.185,-5.3,78
19955,2022,Gavin Lux,87,15,3,10,52,49,41,1,5,363,409,.240,.320,.380,.700,116,83,20,7,6,66,42,47,0,7,61,2.7,129,421,471,0.276,0.1,0.346,0.399,0.745,0.124,6.9,113
11493,2022,Manny Machado,139,25,2,26,80,87,57,1,9,520,589,.267,.339,.473,.812,172,102,37,1,32,100,102,63,0,9,110,7.1,150,578,644,0.298,0.098,0.366,0.531,0.898,0.234,36.8,152
20521,2022,Nick Madrigal,89,14,3,6,41,36,22,1,3,308,337,.289,.344,.412,.757,52,45,7,0,0,19,7,14,2,3,18,0.3,59,209,228,0.249,0.061,0.305,0.282,0.588,0.033,-7.7,73
